io_timestamp, io_value, io_private
1414566600000, 18.2431, f
1414602660000, 20.0173, f
1414620240000, 17.1491, f
1414663440000, 12.0525, f
1414687680000, 13.6298, f
1414710840000, 16.5044, f
1414751340000, 15.7744, f
1414783440000, 14.0419, f
1414878780000, 14.2893, f
1414925520000, 13.0708, f
1414942860000, 14.1455, f
1414971300000, 14.8806, f
1414989240000, 22.4271, f
1415027940000, 17.5553, f
1415064660000, 14.3691, f
1415097840000, 10.1331, f
1415130720000, 14.1289, f
1415192580000, 14.4666, f
1415207520000, 11.9638, f
1415230620000, 12.5704, f
1415271540000, 13.7212, f
1415286720000, 8.4077, f
1415319840000, 15.3368, f
1415337780000, 15.5662, f
1415379060000, 14.3407, f
1415406600000, 14.871, f
1415429580000, 11.7383, f
1415457420000, 13.2953, f
1415479740000, 12.4602, f
1415504280000, 15.3816, f
1415535420000, 17.7705, f
1415652360000, 14.3084, f
1415671560000, 14.2912, f
1415714160000, 13.1968, f
1415734200000, 14.6487, f
1415751180000, 14.1091, f
1415779080000, 15.757, f
1415807400000, 17.7249, f
1415849040000, 15.2548, f
1415869080000, 14.3675, f
1415886000000, 14.7981, f
1415906640000, 19.4766, f
1415990880000, 13.3582, f
1416014640000, 17.7777, f
1416032940000, 12.6532, f
1416052080000, 15.6681, f
1416112080000, 15.1459, f
1416170700000, 11.9322, f
1416203040000, 12.9004, f
1416221160000, 18.3036, f
1416259020000, 14.2606, f
1416280260000, 16.7718, f
1416325200000, 14.9023, f
1416368520000, 15.1645, f
1416382440000, 15.8299, f
1416393120000, 16.7632, f
1416421860000, 14.8185, f
1416453900000, 16.2505, f
1416516420000, 15.1126, f
1416532020000, 31.1585, f
1416556260000, 13.7826, f
1416601920000, 14.616, f
1416633840000, 19.3774, f
1416672120000, 18.4523, f
1416711840000, 16.281, f
1416742740000, 12.3924, f
1416768180000, 16.069, f
1416833280000, 13.9667, f
1416845160000, 18.8344, f
1416885540000, 13.1173, f
1416906300000, 19.5619, f
1416920760000, 12.1646, f
1416953280000, 15.7472, f
1416969540000, 14.1707, f
1417008000000, 14.895, f
1417038660000, 12.6035, f
1417076340000, 9.324, f
1417096500000, 12.4645, f
1417126740000, 14.419, f
1417204260000, 14.8326, f
1417239660000, 12.9295, f
1417270560000, 11.4387, f
1417283400000, 13.41, f
1417305960000, 14.7734, f
1417377420000, 14.4174, f
1417416960000, 16.0144, f
1417446660000, 14.8033, f
1417536420000, 14.9411, f
1417558020000, 14.3432, f
1417574160000, 11.8454, f
1417596240000, 16.9804, f
1417622760000, 13.0089, f
1417650060000, 11.7238, f
1417788600000, 13.6075, f
1417813260000, 10.5329, f
1417839000000, 19.2854, f
1417874760000, 14.4748, f
1417910580000, 14.5307, f
1417934820000, 16.3474, f
1417960260000, 14.1747, f
1417978500000, 13.2243, f
1418017500000, 14.2646, f
1418043000000, 17.3801, f
1418073060000, 15.7133, f
1418095740000, 19.7617, f
1418129940000, 12.6722, f
1418154900000, 13.9371, f
1418191920000, 14.7473, f
1418219220000, 13.5299, f
1418239080000, 15.4384, f
1418278260000, 14.5461, f
1418302020000, 15.7866, f
1418321160000, 19.222, f
1418362020000, 12.9752, f
1418379480000, 16.6468, f
1418418600000, 15.9771, f
1418451540000, 10.5991, f
1418478180000, 19.3751, f
1418557680000, 17.0862, f
1418594880000, 17.8407, f
1418638560000, 12.0602, f
1418682720000, 12.6685, f
1418701320000, 18.4124, f
1418728680000, 15.0136, f
1418749860000, 23.2102, f
1418764680000, 13.8896, f
1418796900000, 17.6369, f
1418824200000, 21.0772, f
1418866440000, 16.2029, f
1418880780000, 14.0046, f
1418915580000, 15.0504, f
1418931180000, 12.7595, f
1418942940000, 18.6757, f
1418960700000, 19.2022, f
1418998980000, 15.5184, f
1419025200000, 15.1633, f
1419078240000, 16.0079, f
1419101340000, 23.758, f
1419249900000, 12.229, f
1419264360000, 17.1359, f
1419280320000, 17.1414, f
1419323100000, 13.5471, f
1419341520000, 15.0401, f
1419398640000, 13.9649, f
1419554700000, 15.4347, f
1419593520000, 15.8613, f
1419623220000, 15.9981, f
1419682380000, 12.4474, f
1419702480000, 17.38, f
1419765000000, 12.8861, f
1419782820000, 12.4085, f
1419819540000, 17.1449, f
1419834660000, 14.0947, f
1419854820000, 17.7424, f
1419880980000, 16.1527, f
1419939780000, 14.827, f
1419959040000, 13.3972, f
1419974220000, 15.7748, f
1420006080000, 17.4021, f
1420041720000, 32.7046, f
1420057860000, 19.901, f
1420105260000, 12.7911, f
1420122240000, 13.8492, f
1420172460000, 14.6067, f
1420188840000, 16.1084, f
1420255920000, 22.018, f
1421605440000, 15.1579, f
1421838660000, 11.7822, f
1421860920000, 25.407, f
1422119160000, 14.3341, f
1422141840000, 13.5529, f
1422193920000, 15.2789, f
1422281160000, 12.8985, f
1422340500000, 13.7908, f
1422357960000, 14.1577, f
1422410940000, 18.06, f
1422439740000, 35.4784, f
1422456600000, 14.8262, f
1422474900000, 14.7075, f
1422513060000, 16.2934, f
1422561060000, 15.6936, f
1422596940000, 9.3079, f
1422624360000, 16.6632, f
1422659760000, 16.8041, f
1422689160000, 32.1564, f
1422713460000, 9.3676, f
1422735300000, 15.2089, f
1422786240000, 14.6159, f
1422843240000, 17.9143, f
1422872940000, 14.2035, f
1422892140000, 16.3049, f
1422925260000, 14.5607, f
1422953280000, 15.7644, f
1422972540000, 14.2297, f
1423017420000, 16.8167, f
1423038480000, 20.9934, f
1423067040000, 15.1978, f
1423081440000, 16.4437, f
1423111740000, 18.6772, f
1423153620000, 15.1869, f
1423191480000, 15.0916, f
1423206540000, 14.4003, f
1423233900000, 14.4169, f
1423251120000, 16.5265, f
1423308060000, 20.9578, f
1423357320000, 17.4249, f
1423391760000, 14.1972, f
1423409280000, 14.6673, f
1423437180000, 16.1239, f
1423477620000, 14.879, f
1423495560000, 19.1288, f
1423521360000, 13.0509, f
1423558800000, 16.6323, f
1423571640000, 11.6018, f
1423590360000, 14.9369, f
1423615260000, 14.8578, f
1423645080000, 16.3973, f
1423717200000, 14.5697, f
1423746420000, 16.2879, f
1423761360000, 16.3145, f
1423829940000, 16.7049, f
1423848900000, 15.8176, f
1423890000000, 16.397, f
1423967220000, 14.7004, f
1423992180000, 14.1532, f
1424011140000, 16.0422, f
1424038440000, 14.8523, f
1424051760000, 12.3612, f
1424189700000, 18.6414, f
1424220780000, 12.3025, f
1424247540000, 14.695, f
1424271840000, 13.7531, f
1424301420000, 17.3076, f
1424336940000, 16.1474, f
1424362500000, 16.1123, f
1424381040000, 15.0635, f
1424453100000, 15.4559, f
1424480460000, 18.2574, f
1424522220000, 16.1918, f
1424531580000, 17.4695, f
1424547300000, 16.6552, f
1424571060000, 19.0192, f
1424623740000, 19.5966, f
1424652240000, 20.8579, f
1424692440000, 13.2888, f
1424716620000, 14.4044, f
1424787000000, 22.55, f
1424803620000, 18.3313, f
1424845620000, 18.6689, f
1424900820000, 20.8454, f
1424942220000, 15.5612, f
1424957400000, 18.2086, f
1424977980000, 15.432, f
1425000240000, 15.9814, f
1425042960000, 18.6888, f
1425069120000, 12.0317, f
1425082080000, 17.7517, f
1425115380000, 16.7468, f
1425141480000, 14.88, f
1425171240000, 15.2849, f
1425216540000, 17.0433, f
1425259620000, 22.4256, f
1425275760000, 15.4122, f
1425399960000, 17.214, f
1425443040000, 19.7158, f
1425466020000, 16.8732, f
1425503220000, 17.5713, f
1425533100000, 18.4239, f
1425605160000, 19.2376, f
1425669840000, 14.5449, f
1425725100000, 15.5367, f
1425738540000, 20.0269, f
1425758160000, 17.6892, f
1425780000000, 14.787, f
1425840060000, 18.505, f
1425941160000, 14.9432, f
1426007640000, 14.6614, f
1426058220000, 18.033, f
1426117320000, 17.6589, f
1426758000000, 17.2862, f
1427270940000, 15.6965, f
1427322060000, 17.5995, f
1427370420000, 15.2754, f
1427379600000, 12.4739, f
1427421120000, 16.5188, f
1427448900000, 13.3989, f
1427483400000, 16.0978, f
1427497740000, 15.0018, f
1427525220000, 15.436, f
1427540460000, 24.8215, f
1427564520000, 16.4264, f
1427617140000, 16.3706, f
1427680320000, 19.1808, f
1427715900000, 16.5691, f
1427745000000, 22.4754, f
1427813520000, 17.1241, f
1427839740000, 34.1624, f
1427920920000, 17.9158, f
